symbol,clojure_core,basilisp_core,status
*,true,true,shared
*',true,true,shared
*1,true,true,shared
*2,true,true,shared
*3,true,true,shared
*agent*,true,true,shared
*agent-send-executor*,false,true,basilisp-extension
*agent-send-off-executor*,false,true,basilisp-extension
*allow-unresolved-vars*,true,false,missing-in-basilisp
*assert*,true,true,shared
*basilisp-version*,false,true,basilisp-extension
*clojure-version*,true,true,shared
*command-line-args*,true,true,shared
*compile-files*,true,false,missing-in-basilisp
*compile-path*,true,false,missing-in-basilisp
*compiler-options*,true,true,shared
*data-readers*,true,true,shared
*default-data-reader-fn*,true,true,shared
*default-reader-features*,false,true,basilisp-extension
*e,true,true,shared
*err*,true,true,shared
*executor-pool*,false,true,basilisp-extension
*file*,true,true,shared
*flush-on-newline*,true,true,shared
*fn-loader*,true,false,missing-in-basilisp
*import-module*,false,true,basilisp-extension
*in*,true,true,shared
*loaded-libs*,false,true,basilisp-extension
*main-ns*,false,true,basilisp-extension
*math-context*,true,true,shared
*ns*,true,true,shared
*out*,true,true,shared
*pmap-cpu-count*,false,true,basilisp-extension
*print-dup*,true,true,shared
*print-length*,true,true,shared
*print-level*,true,true,shared
*print-meta*,true,true,shared
*print-namespace-maps*,true,true,shared
*print-readably*,true,true,shared
*print-sep*,false,true,basilisp-extension
*python-version*,false,true,basilisp-extension
*read-eval*,true,true,shared
*reader-resolver*,true,true,shared
*repl*,true,true,shared
*resolver*,false,true,basilisp-extension
*source-path*,true,true,shared
*suppress-read*,true,true,shared
*unchecked-math*,true,false,missing-in-basilisp
*use-context-classloader*,true,false,missing-in-basilisp
*verbose-defrecords*,true,true,shared
*warn-on-reflection*,true,false,missing-in-basilisp
+,true,true,shared
+',true,true,shared
-,true,true,shared
-',true,true,shared
->,true,true,shared
->>,true,true,shared
->ArrayChunk,true,false,missing-in-basilisp
->Eduction,true,true,shared
->EductionSeq,false,true,basilisp-extension
->Vec,true,false,missing-in-basilisp
->VecNode,true,false,missing-in-basilisp
->VecSeq,true,false,missing-in-basilisp
-cache-protocol-fn,true,false,missing-in-basilisp
-collect-keyword-args,false,true,basilisp-extension
-mangle-py-field,false,true,basilisp-extension
-reset-methods,true,false,missing-in-basilisp
..,true,true,shared
/,true,true,shared
<,true,true,shared
<=,true,true,shared
=,true,true,shared
==,true,true,shared
>,true,true,shared
>=,true,true,shared
EMPTY-NODE,true,false,missing-in-basilisp
Eduction,false,true,basilisp-extension
EductionSeq,false,true,basilisp-extension
Inst,true,true,shared
NaN?,true,true,shared
PrintWriter-on,true,false,missing-in-basilisp
StackTraceElement->vec,true,true,shared
Throwable->map,true,true,shared
abs,true,true,shared
accessor,true,true,shared
aclone,true,true,shared
add-classpath,true,false,missing-in-basilisp
add-tap,true,true,shared
add-watch,true,true,shared
agent,true,true,shared
agent-error,true,true,shared
agent-errors,true,true,shared
aget,true,true,shared
alength,true,true,shared
alias,true,true,shared
all-ns,true,true,shared
alter,true,true,shared
alter-meta!,true,true,shared
alter-var-root,true,true,shared
amap,true,true,shared
ancestors,true,true,shared
and,true,true,shared
any?,true,true,shared
apply,true,true,shared
apply-kw,false,true,basilisp-extension
